YEAR,MONTH,DATE,GRADE,PRICE_PER_KG,MARKET,STATE,DISTRICT,VOLUME_TONNES,TREND,MIN_PRICE,MAX_PRICE,OPEN_PRICE,CLOSE_PRICE
2015,1,2015-01-15,RSS-4,105.80,Kottayam,Kerala,Kottayam,12500,Falling,103.50,108.20,106.50,105.80
2015,1,2015-01-15,RSS-3,112.50,Kottayam,Kerala,Kottayam,3200,Falling,110.00,115.00,113.20,112.50
2015,1,2015-01-15,RSS-5,98.40,Kottayam,Kerala,Kottayam,1800,Falling,96.00,100.80,99.20,98.40
2015,1,2015-01-15,ISNR-20,95.60,Kottayam,Kerala,Kottayam,2100,Falling,93.50,97.80,96.40,95.60
2015,1,2015-01-15,Latex,118.30,Kottayam,Kerala,Kottayam,4500,Stable,116.00,120.50,117.80,118.30
2015,1,2015-01-15,RSS-4,104.20,Changanacherry,Kerala,Kottayam,4200,Falling,102.00,106.50,105.00,104.20
2015,1,2015-01-15,RSS-4,103.80,Palai,Kerala,Idukki,3800,Falling,101.50,106.00,104.50,103.80
2015,1,2015-01-15,RSS-4,104.50,Thodupuzha,Kerala,Idukki,3500,Falling,102.20,106.80,105.20,104.50
2015,1,2015-01-15,RSS-4,106.20,Kochi,Kerala,Ernakulam,5800,Falling,104.00,108.50,107.00,106.20
2015,1,2015-01-15,RSS-4,103.50,Thrissur,Kerala,Thrissur,2900,Falling,101.20,105.80,104.20,103.50
2015,1,2015-01-15,RSS-4,102.80,Kozhikode,Kerala,Kozhikode,2400,Falling,100.50,105.00,103.50,102.80
2015,2,2015-02-15,RSS-4,108.30,Kottayam,Kerala,Kottayam,11800,Rising,106.00,110.50,106.50,108.30
2015,2,2015-02-15,RSS-3,115.20,Kottayam,Kerala,Kottayam,3000,Rising,112.80,117.50,113.50,115.20
2015,2,2015-02-15,RSS-5,101.50,Kottayam,Kerala,Kottayam,1700,Rising,99.20,103.80,100.00,101.50
2015,2,2015-02-15,ISNR-20,98.40,Kottayam,Kerala,Kottayam,2000,Rising,96.20,100.60,97.00,98.40
2015,2,2015-02-15,Latex,121.60,Kottayam,Kerala,Kottayam,4300,Rising,119.20,123.80,120.00,121.60
2015,2,2015-02-15,RSS-4,106.80,Changanacherry,Kerala,Kottayam,4000,Rising,104.50,109.00,105.20,106.80
2015,2,2015-02-15,RSS-4,106.40,Palai,Kerala,Idukki,3600,Rising,104.00,108.80,104.80,106.40
2015,2,2015-02-15,RSS-4,107.00,Thodupuzha,Kerala,Idukki,3400,Rising,104.80,109.20,105.50,107.00
2015,2,2015-02-15,RSS-4,108.80,Kochi,Kerala,Ernakulam,5600,Rising,106.50,111.00,107.20,108.80
2015,2,2015-02-15,RSS-4,106.00,Thrissur,Kerala,Thrissur,2800,Rising,103.80,108.20,104.50,106.00
2015,2,2015-02-15,RSS-4,105.30,Kozhikode,Kerala,Kozhikode,2300,Rising,103.00,107.50,103.80,105.30
2015,3,2015-03-15,RSS-4,112.50,Kottayam,Kerala,Kottayam,10500,Rising,110.20,114.80,109.00,112.50
2015,3,2015-03-15,RSS-3,119.80,Kottayam,Kerala,Kottayam,2800,Rising,117.50,122.00,118.00,119.80
2015,3,2015-03-15,RSS-5,105.60,Kottayam,Kerala,Kottayam,1600,Rising,103.40,107.80,104.20,105.60
2015,3,2015-03-15,ISNR-20,102.80,Kottayam,Kerala,Kottayam,1900,Rising,100.60,105.00,101.40,102.80
2015,3,2015-03-15,Latex,126.20,Kottayam,Kerala,Kottayam,4100,Rising,123.80,128.50,124.50,126.20
2015,3,2015-03-15,RSS-4,111.00,Changanacherry,Kerala,Kottayam,3800,Rising,108.80,113.20,109.50,111.00
2015,3,2015-03-15,RSS-4,110.60,Palai,Kerala,Idukki,3400,Rising,108.40,112.80,109.00,110.60
2015,3,2015-03-15,RSS-4,111.20,Thodupuzha,Kerala,Idukki,3200,Rising,109.00,113.40,109.80,111.20
2015,3,2015-03-15,RSS-4,113.00,Kochi,Kerala,Ernakulam,5400,Rising,110.80,115.20,111.50,113.00
2015,3,2015-03-15,RSS-4,110.20,Thrissur,Kerala,Thrissur,2700,Rising,108.00,112.40,108.80,110.20
2015,3,2015-03-15,RSS-4,109.50,Kozhikode,Kerala,Kozhikode,2200,Rising,107.30,111.70,108.00,109.50
2015,4,2015-04-15,RSS-4,118.70,Kottayam,Kerala,Kottayam,9200,Rising,116.40,121.00,113.20,118.70
2015,4,2015-04-15,RSS-3,126.40,Kottayam,Kerala,Kottayam,2500,Rising,124.00,128.80,124.80,126.40
2015,4,2015-04-15,RSS-5,111.80,Kottayam,Kerala,Kottayam,1500,Rising,109.60,114.00,110.40,111.80
2015,4,2015-04-15,ISNR-20,108.60,Kottayam,Kerala,Kottayam,1800,Rising,106.40,110.80,107.20,108.60
2015,4,2015-04-15,Latex,132.50,Kottayam,Kerala,Kottayam,3900,Rising,130.00,135.00,130.80,132.50
2015,4,2015-04-15,RSS-4,117.20,Changanacherry,Kerala,Kottayam,3600,Rising,115.00,119.40,115.80,117.20
2015,4,2015-04-15,RSS-4,116.80,Palai,Kerala,Idukki,3200,Rising,114.60,119.00,115.40,116.80
2015,4,2015-04-15,RSS-4,117.40,Thodupuzha,Kerala,Idukki,3000,Rising,115.20,119.60,116.00,117.40
2015,4,2015-04-15,RSS-4,119.20,Kochi,Kerala,Ernakulam,5200,Rising,117.00,121.40,117.80,119.20
2015,4,2015-04-15,RSS-4,116.40,Thrissur,Kerala,Thrissur,2600,Rising,114.20,118.60,115.00,116.40
2015,4,2015-04-15,RSS-4,115.70,Kozhikode,Kerala,Kozhikode,2100,Rising,113.50,117.90,114.30,115.70
2015,5,2015-05-15,RSS-4,122.40,Kottayam,Kerala,Kottayam,8500,Rising,120.00,124.80,119.50,122.40
2015,5,2015-05-15,RSS-3,130.50,Kottayam,Kerala,Kottayam,2300,Rising,128.00,133.00,128.80,130.50
2015,5,2015-05-15,RSS-5,115.60,Kottayam,Kerala,Kottayam,1400,Rising,113.40,117.80,114.20,115.60
2015,5,2015-05-15,ISNR-20,112.40,Kottayam,Kerala,Kottayam,1700,Rising,110.20,114.60,111.00,112.40
2015,5,2015-05-15,Latex,136.80,Kottayam,Kerala,Kottayam,3700,Rising,134.20,139.40,135.00,136.80
2015,5,2015-05-15,RSS-4,120.90,Changanacherry,Kerala,Kottayam,3400,Rising,118.60,123.20,119.40,120.90
2015,5,2015-05-15,RSS-4,120.50,Palai,Kerala,Idukki,3000,Rising,118.20,122.80,119.00,120.50
2015,5,2015-05-15,RSS-4,121.10,Thodupuzha,Kerala,Idukki,2800,Rising,118.80,123.40,119.60,121.10
2015,5,2015-05-15,RSS-4,122.90,Kochi,Kerala,Ernakulam,5000,Rising,120.60,125.20,121.40,122.90
2015,5,2015-05-15,RSS-4,120.10,Thrissur,Kerala,Thrissur,2500,Rising,117.80,122.40,118.60,120.10
2015,5,2015-05-15,RSS-4,119.40,Kozhikode,Kerala,Kozhikode,2000,Rising,117.10,121.70,117.90,119.40
