,MonthlyTotal
1948-01-01,52.0
1948-02-01,695.0
1948-03-01,379.0
1948-04-01,1726.0
1948-05-01,2920.0
1948-06-01,3369.0
1948-07-01,4543.0
1948-08-01,3749.0
1948-09-01,2312.0
1948-10-01,2278.0
1948-11-01,342.0
1948-12-01,2.0
1949-01-01,34.0
1949-02-01,95.0
1949-03-01,403.0
1949-04-01,2892.0
1949-05-01,3456.0
1949-06-01,5576.0
1949-07-01,5202.0
1949-08-01,3995.0
1949-09-01,3228.0
1949-10-01,1331.0
1949-11-01,138.0
1949-12-01,8.0
1950-01-01,0.0
1950-02-01,354.0
1950-03-01,258.0
1950-04-01,554.0
1950-05-01,1849.0
1950-06-01,7049.0
1950-07-01,5016.0
1950-08-01,5310.0
1950-09-01,2180.0
1950-10-01,1964.0
1950-11-01,1351.0
1950-12-01,0.0
1951-01-01,6.0
1951-02-01,0.0
1951-03-01,430.0
1951-04-01,1071.0
1951-05-01,1708.0
1951-06-01,4352.0
1951-07-01,5550.0
1951-08-01,4719.0
1951-09-01,2827.0
1951-10-01,3674.0
1951-11-01,311.0
1951-12-01,31.0
1952-01-01,13.0
1952-02-01,1.0
1952-03-01,359.0
1952-04-01,2248.0
1952-05-01,2806.0
1952-06-01,5478.0
1952-07-01,6771.0
1952-08-01,3748.0
1952-09-01,4122.0
1952-10-01,2917.0
1952-11-01,679.0
1952-12-01,3.0
1953-01-01,91.0
1953-02-01,121.0
1953-03-01,600.0
1953-04-01,1010.0
1953-05-01,4115.0
1953-06-01,7138.0
1953-07-01,7440.0
1953-08-01,4624.0
1953-09-01,5618.0
1953-10-01,1657.0
1953-11-01,261.0
1953-12-01,42.0
1954-01-01,164.0
1954-02-01,216.0
1954-03-01,301.0
1954-04-01,805.0
1954-05-01,3158.0
1954-06-01,11528.0
1954-07-01,6062.0
1954-08-01,6066.0
1954-09-01,2867.0
1954-10-01,2721.0
1954-11-01,1.0
1954-12-01,73.0
1955-01-01,37.0
1955-02-01,13.0
1955-03-01,783.0
1955-04-01,915.0
1955-05-01,2845.0
1955-06-01,4898.0
1955-07-01,8000.0
1955-08-01,5551.0
1955-09-01,3416.0
1955-10-01,1496.0
1955-11-01,1363.0
1955-12-01,1.0
1956-01-01,110.0
1956-02-01,42.0
1956-03-01,868.0
1956-04-01,1450.0
1956-05-01,5251.0
1956-06-01,9704.0
1956-07-01,6612.0
1956-08-01,8137.0
1956-09-01,4904.0
1956-10-01,2479.0
1956-11-01,665.0
1956-12-01,44.0
1957-01-01,926.0
1957-02-01,426.0
1957-03-01,91.0
1957-04-01,566.0
1957-05-01,2531.0
1957-06-01,6348.0
1957-07-01,6939.0
1957-08-01,4341.0
1957-09-01,4097.0
1957-10-01,1427.0
1957-11-01,0.0
1957-12-01,6.0
1958-01-01,30.0
1958-02-01,677.0
1958-03-01,461.0
1958-04-01,1583.0
1958-05-01,3606.0
1958-06-01,4886.0
1958-07-01,5308.0
1958-08-01,6190.0
1958-09-01,4252.0
1958-10-01,2877.0
1958-11-01,57.0
1958-12-01,48.0
1959-01-01,539.0
1959-02-01,384.0
1959-03-01,2032.0
1959-04-01,1413.0
1959-05-01,5446.0
1959-06-01,7378.0
1959-07-01,7079.0
1959-08-01,8924.0
1959-09-01,5804.0
1959-10-01,7663.0
1959-11-01,0.0
1959-12-01,216.0
1960-01-01,15.0
1960-02-01,8.0
1960-03-01,906.0
1960-04-01,199.0
1960-05-01,4607.0
1960-06-01,5329.0
1960-07-01,10523.0
1960-08-01,5563.0
1960-09-01,5833.0
1960-10-01,2474.0
1960-11-01,382.0
1960-12-01,6.0
1961-01-01,69.0
1961-02-01,322.0
1961-03-01,285.0
1961-04-01,1061.0
1961-05-01,3515.0
1961-06-01,9757.0
1961-07-01,7279.0
1961-08-01,7376.0
1961-09-01,3726.0
1961-10-01,2849.0
1961-11-01,91.0
1961-12-01,9.0
1962-01-01,122.0
1962-02-01,345.0
1962-03-01,330.0
1962-04-01,1578.0
1962-05-01,4082.0
1962-06-01,8162.0
1962-07-01,6291.0
1962-08-01,6552.0
1962-09-01,3810.0
1962-10-01,2997.0
1962-11-01,262.0
1962-12-01,1.0
1963-01-01,4.0
1963-02-01,26.0
1963-03-01,819.0
1963-04-01,2126.0
1963-05-01,4049.0
1963-06-01,8637.0
1963-07-01,8443.0
1963-08-01,4798.0
1963-09-01,4073.0
1963-10-01,3847.0
1963-11-01,245.0
1963-12-01,7.0
1964-01-01,110.0
1964-02-01,379.0
1964-03-01,431.0
1964-04-01,3529.0
1964-05-01,3924.0
1964-06-01,8731.0
1964-07-01,11577.0
1964-08-01,6423.0
1964-09-01,5174.0
1964-10-01,6033.0
1964-11-01,580.0
1964-12-01,89.0
1965-01-01,0.0
1965-02-01,604.0
1965-03-01,813.0
1965-04-01,928.0
1965-05-01,3228.0
1965-06-01,10421.0
1965-07-01,8888.0
1965-08-01,9563.0
1965-09-01,5134.0
1965-10-01,2212.0
1965-11-01,526.0
1965-12-01,197.0
1966-01-01,267.0
1966-02-01,2.0
1966-03-01,373.0
1966-04-01,1151.0
1966-05-01,2947.0
1966-06-01,9621.0
1966-07-01,8985.0
1966-08-01,9760.0
1966-09-01,7388.0
1966-10-01,4027.0
1966-11-01,438.0
1966-12-01,840.0
1967-01-01,431.0
1967-02-01,75.0
1967-03-01,1867.0
1967-04-01,2754.0
1967-05-01,2916.0
1967-06-01,5833.0
1967-07-01,8407.0
1967-08-01,7458.0
1967-09-01,8174.0
1967-10-01,3201.0
1967-11-01,26.0
1967-12-01,2.0
1968-01-01,85.0
1968-02-01,204.0
1968-03-01,912.0
1968-04-01,1200.0
1968-05-01,4594.0
1968-06-01,11799.0
1968-07-01,11230.0
1968-08-01,7735.0
1968-09-01,3815.0
1968-10-01,2353.0
1968-11-01,321.0
1968-12-01,14.0
1969-01-01,133.0
1969-02-01,14.0
1969-03-01,1859.0
1969-04-01,3427.0
1969-05-01,3142.0
1969-06-01,8890.0
1969-07-01,9836.0
1969-08-01,13026.0
1969-09-01,7026.0
1969-10-01,1329.0
1969-11-01,454.0
1969-12-01,6.0
1970-01-01,367.0
1970-02-01,531.0
1970-03-01,484.0
1970-04-01,2038.0
1970-05-01,3598.0
1970-06-01,9105.0
1970-07-01,13796.0
1970-08-01,7796.0
1970-09-01,7400.0
1970-10-01,6521.0
1970-11-01,997.0
1970-12-01,0.0
1971-01-01,147.0
1971-02-01,87.0
1971-03-01,71.0
1971-04-01,373.0
1971-05-01,1941.0
1971-06-01,7827.0
1971-07-01,9841.0
1971-08-01,10674.0
1971-09-01,6285.0
1971-10-01,3480.0
1971-11-01,2518.0
1971-12-01,1.0
1972-01-01,21.0
