State,Year,MonthlyTotal
Kerala,1948,13973.0
Kerala,1949,18001.0
Kerala,1950,19555.0
Kerala,1951,17448.0
Kerala,1952,20119.0
Kerala,1953,24820.0
Kerala,1954,26523.0
Kerala,1955,21865.0
Kerala,1956,29357.0
Kerala,1957,21725.0
Kerala,1958,20636.0
Kerala,1959,29185.0
Kerala,1960,27248.0
Kerala,1961,28138.0
Kerala,1962,24815.0
Kerala,1963,25951.0
Kerala,1964,31905.0
Kerala,1965,34006.0
Kerala,1966,35754.0
Kerala,1967,29872.0
Kerala,1968,34579.0
Kerala,1969,38778.0
Kerala,1970,38097.0
Kerala,1971,34627.0
Kerala,1972,24006.0
Kerala,1973,30071.0
Kerala,1974,41817.0
Kerala,1975,30703.0
Kerala,1976,39678.0
Kerala,1977,45649.0
Kerala,1978,41385.0
Kerala,1979,42793.0
Kerala,1980,34660.0
Kerala,1981,43163.0
Kerala,1982,55455.0
Kerala,1983,51253.0
Kerala,1984,61281.0
Kerala,1985,47342.0
Kerala,1986,53181.0
Kerala,1987,66516.0
Kerala,1988,59209.0
Kerala,1989,46933.0
Kerala,1990,51537.0
Kerala,1991,65079.0
Kerala,1992,46275.0
Kerala,1993,62311.0
Kerala,1994,45762.0
Kerala,1995,58617.0
Kerala,1996,52005.0
Kerala,1997,59827.0
Kerala,1998,61931.0
Kerala,1999,69328.0
Kerala,2000,56563.0
Kerala,2001,59988.0
Kerala,2002,66404.0
Kerala,2003,54122.0
Kerala,2004,68881.0
Kerala,2005,56549.0
Kerala,2006,51959.0
Kerala,2007,65128.0
Kerala,2008,64023.0
Kerala,2009,58691.0
Kerala,2010,50197.0
Kerala,2011,67763.0
Kerala,2012,58862.0
Kerala,2013,50902.0
Kerala,2014,19960.0
Kerala,2015,58736.8
Kerala,2016,58916.6
Kerala,2017,58888.5
